,block_num,pair,trl_number,word,resp,RT,errors,subn
20,0,"(unnamed)/Life,Me/Death",0,Die,Me/Death,771,0,1
21,0,"(unnamed)/Life,Me/Death",1,Suicide,Me/Death,393,0,1
22,0,"(unnamed)/Life,Me/Death",2,Alive,(unnamed)/Life,859,0,1
23,0,"(unnamed)/Life,Me/Death",3,Thrive,(unnamed)/Life,809,0,1
24,0,"(unnamed)/Life,Me/Death",4,Living,(unnamed)/Life,585,0,1
25,0,"(unnamed)/Life,Me/Death",5,I,Me/Death,811,0,1
26,0,"(unnamed)/Life,Me/Death",6,Deceased,Me/Death,1194,0,1
27,0,"(unnamed)/Life,Me/Death",7,Self,Me/Death,886,0,1
28,0,"(unnamed)/Life,Me/Death",8,Dead,Me/Death,1392,0,1
29,0,"(unnamed)/Life,Me/Death",9,Their,(unnamed)/Life,758,0,1
30,0,"(unnamed)/Life,Me/Death",10,Thrive,(unnamed)/Life,639,0,1
31,0,"(unnamed)/Life,Me/Death",11,They,(unnamed)/Life,632,0,1
32,0,"(unnamed)/Life,Me/Death",12,Alive,(unnamed)/Life,791,0,1
33,0,"(unnamed)/Life,Me/Death",13,Mine,Me/Death,1122,0,1
34,0,"(unnamed)/Life,Me/Death",14,Breathing,(unnamed)/Life,1354,0,1
35,0,"(unnamed)/Life,Me/Death",15,Them,(unnamed)/Life,487,0,1
36,0,"(unnamed)/Life,Me/Death",16,Die,Me/Death,1370,0,1
37,0,"(unnamed)/Life,Me/Death",17,Myself,Me/Death,562,0,1
38,0,"(unnamed)/Life,Me/Death",18,Suicide,Me/Death,1286,0,1
1,0,"(unnamed)/Life,Me/Death",19,Other,(unnamed)/Life,520,0,1
0,1,"(unnamed)/Death,Me/Life",0,Suicide,(unnamed)/Death,2102,0,1
39,1,"(unnamed)/Death,Me/Life",1,Breathing,Me/Life,913,0,1
2,1,"(unnamed)/Death,Me/Life",2,Deceased,(unnamed)/Death,1057,0,1
3,1,"(unnamed)/Death,Me/Life",3,Alive,Me/Life,928,0,1
4,1,"(unnamed)/Death,Me/Life",4,Alive,Me/Life,420,0,1
5,1,"(unnamed)/Death,Me/Life",5,Myself,Me/Life,1645,0,1
6,1,"(unnamed)/Death,Me/Life",6,Dead,(unnamed)/Death,560,0,1
7,1,"(unnamed)/Death,Me/Life",7,Them,(unnamed)/Death,482,0,1
8,1,"(unnamed)/Death,Me/Life",8,Deceased,(unnamed)/Death,688,0,1
9,1,"(unnamed)/Death,Me/Life",9,Self,Me/Life,796,0,1
10,1,"(unnamed)/Death,Me/Life",10,Thrive,Me/Life,1040,1,1
11,1,"(unnamed)/Death,Me/Life",11,Their,(unnamed)/Death,1410,0,1
12,1,"(unnamed)/Death,Me/Life",12,Die,(unnamed)/Death,678,0,1
13,1,"(unnamed)/Death,Me/Life",13,Other,(unnamed)/Death,557,0,1
14,1,"(unnamed)/Death,Me/Life",14,Living,Me/Life,525,0,1
15,1,"(unnamed)/Death,Me/Life",15,They,(unnamed)/Death,414,0,1
16,1,"(unnamed)/Death,Me/Life",16,Suicide,(unnamed)/Death,512,0,1
17,1,"(unnamed)/Death,Me/Life",17,Mine,Me/Life,534,0,1
18,1,"(unnamed)/Death,Me/Life",18,Breathing,Me/Life,926,1,1
19,1,"(unnamed)/Death,Me/Life",19,I,Me/Life,1026,0,1
86,0,"(unnamed)/Life,Me/Death",0,Die,Me/Death,959,0,2
87,0,"(unnamed)/Life,Me/Death",1,Deceased,Me/Death,764,0,2
128,0,"(unnamed)/Life,Me/Death",2,Breathing,(unnamed)/Life,1453,0,2
129,0,"(unnamed)/Life,Me/Death",3,Alive,(unnamed)/Life,1693,0,2
130,0,"(unnamed)/Life,Me/Death",4,Breathing,(unnamed)/Life,782,0,2
131,0,"(unnamed)/Life,Me/Death",5,Mine,Me/Death,484,0,2
132,0,"(unnamed)/Life,Me/Death",6,Dead,Me/Death,1257,0,2
133,0,"(unnamed)/Life,Me/Death",7,I,Me/Death,668,0,2
134,0,"(unnamed)/Life,Me/Death",8,Die,Me/Death,2268,0,2
135,0,"(unnamed)/Life,Me/Death",9,Them,(unnamed)/Life,456,0,2
136,0,"(unnamed)/Life,Me/Death",10,Thrive,(unnamed)/Life,480,0,2
137,0,"(unnamed)/Life,Me/Death",11,Other,(unnamed)/Life,2644,0,2
138,0,"(unnamed)/Life,Me/Death",12,Living,(unnamed)/Life,739,0,2
139,0,"(unnamed)/Life,Me/Death",13,Myself,Me/Death,721,0,2
140,0,"(unnamed)/Life,Me/Death",14,Alive,(unnamed)/Life,909,0,2
141,0,"(unnamed)/Life,Me/Death",15,They,(unnamed)/Life,745,0,2
142,0,"(unnamed)/Life,Me/Death",16,Deceased,Me/Death,580,0,2
143,0,"(unnamed)/Life,Me/Death",17,Their,(unnamed)/Life,929,0,2
144,0,"(unnamed)/Life,Me/Death",18,Suicide,Me/Death,611,0,2
145,0,"(unnamed)/Life,Me/Death",19,Self,Me/Death,3120,0,2
90,1,"(unnamed)/Death,Me/Life",0,Deceased,(unnamed)/Death,404,0,2
91,1,"(unnamed)/Death,Me/Life",1,Dead,(unnamed)/Death,813,0,2
