,block,condition,trial_word,latency,errors,correct,response,subjnum
0,0,"Death,Life",Dead,809,0,1,Death,1
1,0,"Death,Life",Deceased,852,0,1,Death,1
2,0,"Death,Life",Alive,606,0,1,Life,1
3,0,"Death,Life",Living,420,0,1,Life,1
4,0,"Death,Life",Suicide,1347,0,1,Death,1
5,0,"Death,Life",Breathing,682,0,1,Life,1
6,0,"Death,Life",Deceased,624,0,1,Death,1
7,0,"Death,Life",Dead,686,0,1,Death,1
8,0,"Death,Life",Thrive,2204,0,1,Life,1
9,0,"Death,Life",Deceased,734,0,1,Death,1
10,0,"Death,Life",Thrive,459,0,1,Life,1
11,0,"Death,Life",Living,597,0,1,Life,1
12,0,"Death,Life",Suicide,1481,0,1,Death,1
13,0,"Death,Life",Die,1589,0,1,Death,1
14,0,"Death,Life",Thrive,782,0,1,Life,1
15,0,"Death,Life",Die,2980,0,1,Death,1
16,0,"Death,Life",Breathing,919,0,1,Life,1
17,0,"Death,Life",Living,575,0,1,Life,1
18,0,"Death,Life",Suicide,766,0,1,Death,1
19,0,"Death,Life",Alive,1877,0,1,Life,1
20,1,"Not Me,Me",I,810,0,1,Me,1
21,1,"Not Me,Me",They,638,0,1,Not Me,1
22,1,"Not Me,Me",Other,1094,0,1,Not Me,1
23,1,"Not Me,Me",Myself,1227,0,1,Me,1
24,1,"Not Me,Me",Them,534,0,1,Not Me,1
25,1,"Not Me,Me",Self,506,0,1,Me,1
26,1,"Not Me,Me",Their,534,0,1,Not Me,1
27,1,"Not Me,Me",Them,626,0,1,Not Me,1
28,1,"Not Me,Me",Mine,412,0,1,Me,1
29,1,"Not Me,Me",They,585,0,1,Not Me,1
30,1,"Not Me,Me",Their,538,0,1,Not Me,1
31,1,"Not Me,Me",Them,630,0,1,Not Me,1
32,1,"Not Me,Me",Other,453,1,0,Not Me,1
33,1,"Not Me,Me",Myself,854,0,1,Me,1
34,1,"Not Me,Me",I,485,0,1,Me,1
35,1,"Not Me,Me",I,737,0,1,Me,1
36,1,"Not Me,Me",Mine,1032,0,1,Me,1
37,1,"Not Me,Me",Their,1148,0,1,Not Me,1
38,1,"Not Me,Me",Self,806,0,1,Me,1
39,1,"Not Me,Me",Self,646,0,1,Me,1
40,0,"Life,Death",Thrive,764,0,1,Life,2
41,0,"Life,Death",Dead,952,0,1,Death,2
42,0,"Life,Death",Suicide,878,1,0,Death,2
43,0,"Life,Death",Deceased,580,0,1,Death,2
44,0,"Life,Death",Alive,896,0,1,Life,2
45,0,"Life,Death",Die,1534,0,1,Death,2
46,0,"Life,Death",Dead,932,0,1,Death,2
47,0,"Life,Death",Suicide,1990,0,1,Death,2
48,0,"Life,Death",Thrive,1377,0,1,Life,2
49,0,"Life,Death",Deceased,547,0,1,Death,2
50,0,"Life,Death",Breathing,1281,0,1,Life,2
51,0,"Life,Death",Living,1186,0,1,Life,2
52,0,"Life,Death",Breathing,665,0,1,Life,2
53,0,"Life,Death",Die,714,0,1,Death,2
54,0,"Life,Death",Alive,631,1,0,Life,2
55,0,"Life,Death",Living,678,0,1,Life,2
56,0,"Life,Death",Suicide,539,0,1,Death,2
57,0,"Life,Death",Thrive,631,0,1,Life,2
58,0,"Life,Death",Deceased,659,0,1,Death,2
59,0,"Life,Death",Dead,892,0,1,Death,2
60,1,"Not Me,Me",They,581,0,1,Not Me,2
61,1,"Not Me,Me",Other,691,0,1,Not Me,2
62,1,"Not Me,Me",Myself,1073,0,1,Me,2
63,1,"Not Me,Me",Self,1401,0,1,Me,2
64,1,"Not Me,Me",Mine,1552,0,1,Me,2
65,1,"Not Me,Me",Myself,559,0,1,Me,2
66,1,"Not Me,Me",Self,1046,0,1,Me,2
67,1,"Not Me,Me",I,517,0,1,Me,2
68,1,"Not Me,Me",Mine,908,0,1,Me,2
69,1,"Not Me,Me",Myself,604,0,1,Me,2
70,1,"Not Me,Me",Their,580,0,1,Not Me,2
71,1,"Not Me,Me",Other,686,0,1,Not Me,2
72,1,"Not Me,Me",Them,565,0,1,Not Me,2
73,1,"Not Me,Me",They,559,0,1,Not Me,2
74,1,"Not Me,Me",Self,1261,0,1,Me,2
75,1,"Not Me,Me",Their,402,0,1,Not Me,2
76,1,"Not Me,Me",Other,681,0,1,Not Me,2
77,1,"Not Me,Me",Them,446,1,0,Not Me,2
78,1,"Not Me,Me",I,1123,0,1,Me,2
79,1,"Not Me,Me",I,656,1,0,Me,2
80,2,"Life/Not Me,Death/Me",I,735,0,1,Death/Me,2
81,2,"Life/Not Me,Death/Me",Dead,2837,0,1,Death/Me,2
82,2,"Life/Not Me,Death/Me",Self,1189,0,1,Death/Me,2
83,2,"Life/Not Me,Death/Me",Breathing,556,0,1,Life/Not Me,2
84,2,"Life/Not Me,Death/Me",Other,1280,0,1,Life/Not Me,2
85,2,"Life/Not Me,Death/Me",Alive,1025,0,1,Life/Not Me,2
86,2,"Life/Not Me,Death/Me",Mine,1201,0,1,Death/Me,2
87,2,"Life/Not Me,Death/Me",Deceased,611,0,1,Death/Me,2
88,2,"Life/Not Me,Death/Me",Myself,2360,0,1,Death/Me,2
89,2,"Life/Not Me,Death/Me",Thrive,906,0,1,Life/Not Me,2
90,2,"Life/Not Me,Death/Me",Living,1406,0,1,Life/Not Me,2
91,2,"Life/Not Me,Death/Me",They,456,0,1,Life/Not Me,2
92,2,"Life/Not Me,Death/Me",Self,545,0,1,Death/Me,2
93,2,"Life/Not Me,Death/Me",Dead,447,0,1,Death/Me,2
94,2,"Life/Not Me,Death/Me",They,793,0,1,Life/Not Me,2
95,2,"Life/Not Me,Death/Me",Living,937,0,1,Life/Not Me,2
96,2,"Life/Not Me,Death/Me",Suicide,620,0,1,Death/Me,2
97,2,"Life/Not Me,Death/Me",Them,731,0,1,Life/Not Me,2
98,2,"Life/Not Me,Death/Me",Their,1570,0,1,Life/Not Me,2
99,2,"Life/Not Me,Death/Me",Die,1468,1,0,Death/Me,2
100,3,"Life/Not Me,Death/Me",They,1527,0,1,Life/Not Me,2
101,3,"Life/Not Me,Death/Me",Self,2130,0,1,Death/Me,2
102,3,"Life/Not Me,Death/Me",Alive,768,0,1,Life/Not Me,2
103,3,"Life/Not Me,Death/Me",I,649,0,1,Death/Me,2
104,3,"Life/Not Me,Death/Me",Breathing,666,0,1,Life/Not Me,2
105,3,"Life/Not Me,Death/Me",Myself,775,0,1,Death/Me,2
106,3,"Life/Not Me,Death/Me",Suicide,1025,0,1,Death/Me,2
107,3,"Life/Not Me,Death/Me",Mine,908,0,1,Death/Me,2
108,3,"Life/Not Me,Death/Me",Alive,1183,0,1,Life/Not Me,2
109,3,"Life/Not Me,Death/Me",Their,690,0,1,Life/Not Me,2
110,3,"Life/Not Me,Death/Me",Living,773,0,1,Life/Not Me,2
111,3,"Life/Not Me,Death/Me",They,1681,0,1,Life/Not Me,2
112,3,"Life/Not Me,Death/Me",Suicide,552,0,1,Death/Me,2
113,3,"Life/Not Me,Death/Me",I,471,0,1,Death/Me,2
114,3,"Life/Not Me,Death/Me",Deceased,545,0,1,Death/Me,2
115,3,"Life/Not Me,Death/Me",Their,573,0,1,Life/Not Me,2
116,3,"Life/Not Me,Death/Me",Dead,2689,0,1,Death/Me,2
117,3,"Life/Not Me,Death/Me",Them,2174,0,1,Life/Not Me,2
